,TECHNOLOGY,TRAVEL,EDUCATION,ENTERTAINMENT,SCIENCE,BUSINESS,LAW,HEATH,WORLD,SPORT,NEWS,VEHICLE,LIFE
TECHNOLOGY,1734,18,20,19,39,49,8,8,23,14,10,31,27
TRAVEL,15,1572,10,42,97,44,10,12,56,12,44,12,74
EDUCATION,13,21,1752,20,24,14,18,16,5,16,23,6,72
ENTERTAINMENT,26,55,28,1667,15,10,15,6,30,51,21,9,67
SCIENCE,30,68,37,10,1546,29,2,111,57,10,35,21,44
BUSINESS,65,125,10,16,30,1354,42,39,58,17,115,66,63
LAW,2,11,14,12,2,22,1808,11,10,0,70,12,26
HEATH,13,16,20,17,65,27,16,1645,26,6,50,7,92
WORLD,15,60,15,26,80,52,44,42,1532,15,37,23,59
SPORT,9,15,12,49,3,4,2,8,21,1838,10,19,10
NEWS,19,83,103,11,48,84,128,75,35,15,1329,40,30
VEHICLE,36,12,2,7,16,23,17,2,23,27,58,1770,7
LIFE,27,150,61,96,43,55,23,182,24,15,32,25,1267
